Group,Subject_Number,Subject,Timepoint,Elapsed_Minutes,Source_Sheet,Date,Time,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
b,2,2b,5.5,5.5087,2b_WBPth,2025-12-17,10:52:25.615000,Toxicity,Original,,106.23493194580078,2.87060284614563,304.7120361328125,0.8113805055618286,0.8256605267524719,0.4246696531772613,11.153897285461426,14.87081241607666,13.897884368896484,0.282717227935791,0.2825709879398346,1.1818859577178955,6.608581066131592,0.0,0.1586841344833374,7.6873955726623535,16.88106918334961,37.0,25.0,30.0,0.0,
b,4,4b,5.5,5.49105,4b_WBPth,2025-12-17,11:04:38.018000,Toxicity,Original,,91.71437072753906,1.8802170753479004,171.61158752441406,0.8393464088439941,0.8018885850906372,0.476498007774353,11.153897285461426,10.08083438873291,9.507007598876951,0.3301843404769897,0.3262516260147095,0.6668294072151184,9.157838821411133,0.0,0.186622217297554,8.213242530822754,15.19318389892578,37.0,25.0,30.0,0.0,
b,5,5b,5.5,5.515283333333333,5b_WBPth,2025-12-17,11:09:10.717000,Toxicity,Original,,109.9215850830078,0.4494208991527557,49.42703628540039,1.4370124340057373,1.202507495880127,0.2093088328838348,11.153897285461426,3.718770980834961,4.201777458190918,0.2768659293651581,0.2700148820877075,0.1970131993293762,25.179908752441406,36.75270080566406,0.1290881186723709,8.941256523132324,14.335944175720217,37.0,25.0,30.0,0.0,
b,6,6b,5.5,5.490366666666668,6b_WBPth,2025-12-17,11:13:18.940000,Toxicity,Original,,95.70916748046876,2.07874608039856,198.7382202148437,0.8013497591018677,0.8395412564277649,0.4603394865989685,11.153897285461426,9.483976364135742,8.633444786071777,0.3219911754131317,0.3052562177181244,0.7606606483459473,7.505588531494141,0.0,0.1715043038129806,9.718219757080078,14.89542007446289,37.0,25.0,30.0,0.0,
b,7,7b,5.5,5.483833333333333,7b_WBPth,2025-12-17,11:16:55.079000,Toxicity,Original,,85.80781555175781,2.458653450012207,211.02511596679688,0.6991814970970154,0.8757872581481934,0.4778306484222412,11.153897285461426,11.603032112121582,8.282005310058594,0.3375796973705292,0.3617418110370636,0.6951821446418762,9.290569305419922,0.0,0.1982751935720443,9.897672653198242,16.251951217651367,37.0,25.0,30.0,0.0,
b,8,8b,5.5,5.487333333333334,8b_WBPth,2025-12-17,11:27:48.763000,Toxicity,Original,,85.02557373046875,2.8269076347351074,239.90347290039065,0.5847920179367065,0.6774981021881104,0.5719491243362427,11.153897285461426,11.739048957824709,10.638951301574709,0.3629603087902069,0.3432943224906921,0.8941356539726257,13.480162620544434,0.0,0.2130803614854812,11.417213439941406,12.9644775390625,37.0,25.0,30.0,0.0,
b,9,9b,5.5,5.49145,9b_WBPth,2025-12-17,11:23:46.484000,Toxicity,Original,,94.49022674560548,1.897446155548096,179.2466278076172,0.9650417566299438,0.9414612054824828,0.4294952750205993,11.153897285461426,9.721528053283691,9.437274932861328,0.3484572768211365,0.286640465259552,0.832626223564148,9.798026084899902,0.0,0.1546703726053238,12.96210479736328,19.245586395263672,37.0,25.0,30.0,0.0,
b,2,2b,7.5,7.5087,2b_WBPth,2025-12-17,10:54:25.615000,Toxicity,Original,,200.093994140625,2.267235279083252,443.3480224609375,0.4807648360729217,0.6514452695846558,0.6025099754333496,11.153897285461426,20.9965763092041,15.399900436401367,0.1550687402486801,0.1473042964935302,1.3104921579360962,5.1610188484191895,0.0,0.0912399813532829,10.034461975097656,11.618916511535645,37.0,25.0,30.0,16.66666603088379,
b,4,4b,7.5,7.49105,4b_WBPth,2025-12-17,11:06:38.018000,Toxicity,Original,,107.78131103515624,1.8316054344177248,197.31851196289065,0.5865588188171387,0.589648425579071,0.7082540988922119,11.153897285461426,10.07602596282959,9.851059913635254,0.2921828329563141,0.2649324238300323,0.7410615086555481,8.250741004943848,0.0,0.1716349273920059,6.5218915939331055,10.487589836120604,37.0,25.0,30.0,0.0,
b,5,5b,7.5,7.515283333333333,5b_WBPth,2025-12-17,11:11:10.717000,Toxicity,Original,,128.07980346679688,0.3807924091815948,48.73576354980469,0.9411956071853638,0.8777329921722412,0.2474879771471023,11.153897285461426,3.7905545234680176,4.044720649719238,0.2159018218517303,0.2528448104858398,0.1590953171253204,50.69538497924805,0.0,0.1410750150680542,15.29818344116211,8.396052360534668,37.0,25.0,30.0,0.0,
